id,name,description,target_function,signature,output_format,purpose,tags
t84,LanguageConversationBot,"Simulates conversational practice in target language.",,,,"","language;chatbot"
t85,PlantWateringAssistant,"Advises watering schedules by plant and season.",,,,"","gardening;assistant"
t86,ConferenceTicketing,"Manages ticket sales and check-ins for events.",,,,"","events;sales"
t87,RecipeMealMatcher,"Matches recipes to dietary restrictions and goals.",,,,"","food;diet"
t88,CityGuideAPI,"Provides city guides and points of interest.",,,,"","travel;local"
t89,CryptoPriceFeed,"Provides live cryptocurrency prices and history.",,,,"","finance;crypto"
t90,PatentSearch,"Searches patent databases for prior art.",,,,"","legal;research"
t91,LearningPathCreator,"Creates personalized learning paths for skills.",,,,"","education;planning"
t92,PriceAlertCreator,"Creates alerts for price drops on saved items.",,,,"","shopping;alerts"
t93,HouseholdChoreRota,"Generates household chore schedules and assignments.",,,,"","home;organizer"
t94,PodcastTranscriber,"Transcribes podcast audio to text.",,,,"","audio;transcription"
t95,RecipePhotoEnhancer,"Enhances food photos for presentation.",,,,"","media;food"
t96,JobFeedAggregator,"Aggregates job listings from multiple boards.",,,,"","career;jobs"
t97,TimeZoneConverter,"Converts times across time zones and DST.",,,,"","time;tools"
t98,TravelVisaChecker,"Checks visa requirements by nationality and destination.",,,,"","travel;legal"
t99,EventFeedbackCollector,"Collects and summarizes event attendee feedback.",,,,"","events;survey"
t100,MeetingNotesSummarizer,"Summarizes meeting transcripts into action items.",,,,"","productivity;nlp"
